wts1-L-1	SPAC2E12.03c
wts0403-L-6	SPCC1235.12c
wts0403-L-7	SPCC1235.11
wts0403-L-8	SPCC1235.10c
wts0403-L-9	SPCC1235.09
wts0403-L-10	SPCC1235.08c
wts5-L-1	SPCC794.01c
wts5-L-2	SPCC1529.01
wts5-L-3	SPCC548.07c
wts5-L-4	SPCC548.06c
wts5-L-5	SPCC548.05c
wts5-L-6	SPCC548.04
wts5-L-7	SPCC1235.15
wts5-L-8	SPCC1235.14
wts5-L-9	SPCC1235.18
wts5-L-10	SPCC1235.17
wts6-L-1	SPCC553.06
wts6-L-2	SPCC553.07c
wts6-L-3	SPCC553.08c
wts6-L-4	SPCC553.09c
wts6-L-5	SPCC553.10
wts6-L-6	SPCC553.11c
wts6-L-7	SPCC553.12c
wts6-L-8	SPCC794.15
wts6-L-9	SPCC794.12c
wts6-L-10	SPCC794.11c
wts7-L-1	SPCC736.04c
wts7-L-2	SPCC736.03c
wts7-L-3	SPCC736.02
wts7-L-4	SPCC553.01c
wts7-L-5	SPCC553.02
wts7-L-6	SPCC553.03
wts7-L-7	SPCC553.04
wts7-L-8	SPCC553.06
wts7-L-9	SPCC553.07c
wts7-L-10	SPCC553.08c
wts8-L-1	SPCC306.09c
wts8-L-2	SPCC306.08c
wts8-L-3	SPCC306.07c
wts8-L-4	SPCC306.06c
wts8-L-5	SPCC306.05c
wts8-L-6	SPCC306.04c
wts8-L-7	SPCC306.03c
wts8-L-8	SPCC306.02c
wts8-L-9	SPCC1682.16
wts8-L-10	SPCC1682.15
wts9-L-1	SPCC364.01
wts9-L-2	SPCC364.02c
wts9-L-3	SPCC364.03
wts9-L-4	SPCC364.04c
wts9-L-5	SPCC364.05
wts9-L-6	SPCC364.06
wts9-L-7	SPCC364.07
wts9-L-8	SPCC4G3.02
wts9-L-9	SPCC4G3.03
wts9-L-10	SPCC4G3.04c
wts10-L-1	SPCC1183.09c
wts10-L-2	SPCC1183.08c
wts10-L-3	SPCC1183.07
wts10-L-4	SPCC1183.12
wts10-L-5	SPCC1183.06
wts10-L-6	SPCC1183.05c
wts10-L-7	SPCC1183.04c
wts10-L-8	SPCC1183.03c
wts10-L-9	SPCC1183.02
wts10-L-10	SPCC1183.01
wts1112-L-1	SPCC1281.07c
wts1112-L-2	SPCC1281.06c
wts1112-L-3	SPCC1281.05
wts1112-L-4	SPCC1281.04
wts1112-L-5	SPCC1281.03c
wts1112-L-6	SPCC1281.02c
wts1112-L-7	SPCC1281.01
wts1112-L-8	SPCC338.03c
wts1112-L-9	SPCC338.02
wts1112-L-10	SPCC338.04
wts13-L-1	SPCC162.05
wts13-L-2	SPCC162.06c
wts13-L-3	SPCC162.07
wts13-L-4	SPCC162.08c
wts13-L-5	SPCC162.09c
wts13-L-6	SPCC162.10
wts13-L-7	SPCC162.11c
wts13-L-8	SPCC162.12
wts13-L-9	SPCC1753.05
wts13-L-10	SPCC1753.04
wts1415-L-1	SPCC663.01c
wts1415-L-2	SPCC777.15
wts1415-L-3	SPCC777.14
wts1415-L-4	SPCC777.13
wts1415-L-5	SPCC777.17c
wts1415-L-6	SPCC777.12c
wts1415-L-7	SPCC777.11
wts1415-L-8	SPCC777.10c
wts1415-L-9	SPCC777.09c
wts1415-L-10	SPCC777.08c
wts16-L-1	SPCC1450.07c
wts16-L-2	SPCC1450.06c
wts16-L-3	SPCC1450.05c
wts16-L-4	SPCC1450.04
wts16-L-5	SPCC1450.03
wts16-L-6	SPCC1450.02
wts16-L-7	SPCC191.11
wts16-L-8	SPCC191.10
wts16-L-9	SPCC191.09c
wts16-L-10	SPCC191.08
wts1817-L-1	SPCC285.05
wts1817-L-2	SPCC285.04
wts1817-L-3	SPCC285.03
wts1817-L-4	SPCC1442.17c
wts1817-L-5	SPCC1442.16c
wts1817-L-6	SPCC1442.15c
wts1817-L-7	SPCC1442.14c
wts1817-L-8	SPCC1442.13c
wts1817-L-9	SPCC1442.12
wts1817-L-10	SPCC1442.11c
wts27-L-1	SPCC737.04
wts27-L-2	SPCC737.03c
wts27-L-3	SPCC737.02c
wts27-L-4	SPCC297.06c
wts27-L-5	SPCC297.05
wts27-L-6	SPCC297.04c
wts27-L-7	SPCC297.03
wts27-L-8	SPCC1223.14
wts27-L-9	SPCC1223.13
wts27-L-10	SPCC1223.12c
wts32-L-1	SPCC74.03c
wts32-L-2	SPCC74.02c
wts32-L-3	SPCC74.01
wts32-L-4	SPCC74.09
wts32-L-5	SPCC737.09c
wts32-L-6	SPCC737.08
wts32-L-7	SPCC737.07c
wts32-L-8	SPCC737.06c
wts32-L-9	SPCC737.05
wts32-L-10	SPCC737.04
wts1920-L-1	SPCC1906.02c
wts1920-L-2	SPCC1906.01
wts1920-L-3	SPCC4F11.05
wts1920-L-4	SPCC4F11.04c
wts1920-L-5	SPCC4F11.03c
wts1920-L-6	SPCC4F11.02
wts1920-L-7	SPCC290.04
wts1920-L-8	SPCC290.03c
wts1920-L-9	SPCC290.02
wts1920-L-10	SPCC18.18c
wts28-L-1	SPCC1739.06c
wts28-L-2	SPCC1739.05
wts28-L-3	SPCC1739.04c
wts28-L-4	SPCC1739.03
wts28-L-5	SPCC1739.02c
wts28-L-6	SPCC1739.01
wts28-L-7	SPCC1906.02c
wts28-L-8	SPCC1906.01
wts28-L-9	SPCC4F11.05
wts28-L-10	SPCC4F11.04c
wts21-L-1	SPCC1739.14
wts21-L-2	SPCC1739.13
wts21-L-3	SPCC1739.12
wts21-L-4	SPCC1739.11c
wts21-L-5	SPCC1739.10
wts21-L-6	SPCC1739.09c
wts21-L-7	SPCC1739.08c
wts21-L-8	SPCC1739.07
wts21-L-9	SPCC1739.06c
wts21-L-10	SPCC1739.05
wts22-L-1	SPCC576.15c
wts22-L-2	SPCC576.14
wts22-L-3	SPCC576.13
wts22-L-4	SPCC576.12c
wts22-L-5	SPCC576.11
wts22-L-6	SPCC576.10c
wts22-L-7	SPCC576.09
wts22-L-8	SPCC576.08c
wts22-L-9	SPCC576.07
wts22-L-10	SPCC576.06c
wts23-L-1	SPCC1620.01c
wts23-L-2	SPCC126.15c
wts23-L-3	SPCC126.14
wts23-L-4	SPCC126.13c
wts23-L-5	SPCC126.12
wts23-L-6	SPCC126.11c
wts23-L-7	SPCC126.10
wts23-L-8	SPCC126.09
wts23-L-9	SPCC126.08c
wts23-L-10	SPCC126.07c
wts24-L-1	SPCC1620.14c
wts24-L-2	SPCC1620.13
wts24-L-3	SPCC1620.12c
wts24-L-4	SPCC1620.11
wts24-L-5	SPCC1620.10
wts24-L-6	SPCC1620.09c
wts24-L-7	SPCC1620.08
wts24-L-8	SPCC1620.07c
wts24-L-9	SPCC1620.06c
wts24-L-10	SPCC1620.05
wts25-L-1	SPCC1919.05
wts25-L-2	SPCC1919.04
wts25-L-3	SPCC1919.03c
wts25-L-4	SPCC1919.02
wts25-L-5	SPCC1919.01
wts25-L-6	SPCC830.11c
wts25-L-7	SPCC830.10
wts25-L-8	SPCC830.09c
wts25-L-9	SPCC830.08c
wts25-L-10	SPCC830.07c
